startISO,endISO,pn,piezasTotales,durationMinutes,shiftTimeMinutes,tiempoPlaneadoMinutes,downtimeProgramadoMinutes,downtimeNoProgramadoMinutes,downtimeMinutes,disponibilidad,eficiencia,calidad,eolOk,eolNok,changeOver,stations_json
2025-12-19T14:00:00.000Z,2025-12-19T22:00:00.000Z,"WG REA FORD CA029",76,480,480,480,0,0,0,1.0000,0.0528,0.8636,76,12,No,"[{""station"":""620"",""ok"":105,""nok"":0},{""station"":""730"",""ok"":114,""nok"":0},{""station"":""731"",""ok"":108,""nok"":0},{""station"":""750"",""ok"":108,""nok"":0},{""station"":""810"",""ok"":112,""nok"":3},{""station"":""915"",""ok"":108,""nok"":0},{""station"":""940"",""ok"":103,""nok"":0},{""station"":""960"",""ok"":94,""nok"":6},{""station"":""CHW"",""ok"":106,""nok"":0},{""station"":""CCC"",""ok"":104,""nok"":2},{""station"":""MAT"",""ok"":112,""nok"":0},{""station"":""EOL"",""ok"":76,""nok"":12}]"
2025-12-19T22:00:00.000Z,2025-12-20T05:30:00.000Z,"WG REA FORD CA029",53,450,450,450,0,0,0,1.0000,0.0393,1.0000,53,0,No,"[{""station"":""620"",""ok"":56,""nok"":0},{""station"":""730"",""ok"":55,""nok"":0},{""station"":""731"",""ok"":54,""nok"":0},{""station"":""750"",""ok"":48,""nok"":0},{""station"":""810"",""ok"":38,""nok"":7},{""station"":""915"",""ok"":49,""nok"":0},{""station"":""940"",""ok"":52,""nok"":0},{""station"":""960"",""ok"":53,""nok"":0},{""station"":""CHW"",""ok"":58,""nok"":0},{""station"":""CCC"",""ok"":57,""nok"":0},{""station"":""MAT"",""ok"":57,""nok"":0},{""station"":""EOL"",""ok"":53,""nok"":0}]"
2025-12-20T05:30:00.000Z,2025-12-20T14:00:00.000Z,"WG REA FORD CA029",0,510,510,510,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-20T14:00:00.000Z,2025-12-20T22:00:00.000Z,"WG REA FORD CA029",0,480,480,480,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-20T22:00:00.000Z,2025-12-21T05:30:00.000Z,"WG REA FORD CA029",0,450,450,450,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-21T05:30:00.000Z,2025-12-21T14:00:00.000Z,"WG REA FORD CA029",0,510,510,510,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-21T14:00:00.000Z,2025-12-21T22:00:00.000Z,"WG REA FORD CA029",0,480,480,480,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-21T22:00:00.000Z,2025-12-22T05:30:00.000Z,"WG REA FORD CA029",0,450,450,450,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-22T05:30:00.000Z,2025-12-22T14:00:00.000Z,"WG REA FORD CA029",0,510,510,510,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-22T14:00:00.000Z,2025-12-22T16:36:13.000Z,"WG REA FORD CA029",5,156,156,156,0,0,0,1.0000,0.0107,1.0000,5,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":5,""nok"":0}]"
2025-12-22T16:37:13.000Z,2025-12-22T17:01:13.000Z,"WG REA FORD CA029 REWORK NO BRANSON",8,24,24,24,0,0,0,1.0000,0.1111,1.0000,8,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":8,""nok"":5},{""station"":""960"",""ok"":8,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":8,""nok"":0}]"
2025-12-22T17:02:13.000Z,2025-12-22T22:00:00.000Z,"WG REA FORD CA029 REWORK EOL",21,298,298,298,0,0,0,1.0000,0.0235,1.0000,21,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":21,""nok"":0}]"
2025-12-22T22:00:00.000Z,2025-12-23T05:30:00.000Z,"WG REA FORD CA029 REWORK EOL",0,450,450,450,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-23T05:30:00.000Z,2025-12-23T14:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,510,510,510,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-23T14:00:00.000Z,2025-12-23T22:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,480,480,480,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-23T22:00:00.000Z,2025-12-24T05:30:00.000Z,"WG REA FORD CA029 REWORK EOL",0,450,450,450,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-24T05:30:00.000Z,2025-12-24T14:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,510,510,510,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-24T14:00:00.000Z,2025-12-24T22:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,480,480,480,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-24T22:00:00.000Z,2025-12-25T05:30:00.000Z,"WG REA FORD CA029 REWORK EOL",0,450,450,450,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-25T05:30:00.000Z,2025-12-25T14:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,510,510,510,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-25T14:00:00.000Z,2025-12-25T22:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,480,480,480,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-25T22:00:00.000Z,2025-12-26T05:30:00.000Z,"WG REA FORD CA029 REWORK EOL",0,450,450,450,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-26T05:30:00.000Z,2025-12-26T14:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,510,510,510,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-26T14:00:00.000Z,2025-12-26T22:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,480,480,480,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-26T22:00:00.000Z,2025-12-27T05:30:00.000Z,"WG REA FORD CA029 REWORK EOL",0,450,450,450,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-27T05:30:00.000Z,2025-12-27T14:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,510,510,510,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-27T14:00:00.000Z,2025-12-27T22:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,480,480,480,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-27T22:00:00.000Z,2025-12-28T05:30:00.000Z,"WG REA FORD CA029 REWORK EOL",0,450,450,450,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-28T05:30:00.000Z,2025-12-28T14:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,510,510,510,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-28T14:00:00.000Z,2025-12-28T22:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,480,480,480,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-28T22:00:00.000Z,2025-12-29T05:30:00.000Z,"WG REA FORD CA029 REWORK EOL",0,450,450,450,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-29T05:30:00.000Z,2025-12-29T14:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,510,510,510,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-29T14:00:00.000Z,2025-12-29T22:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,480,480,480,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-29T22:00:00.000Z,2025-12-30T05:30:00.000Z,"WG REA FORD CA029 REWORK EOL",0,450,450,450,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-30T05:30:00.000Z,2025-12-30T14:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,510,510,510,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-30T14:00:00.000Z,2025-12-30T22:00:00.000Z,"WG REA FORD CA029 REWORK EOL",0,480,480,480,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
2025-12-30T22:00:00.000Z,2025-12-31T05:30:00.000Z,"WG REA FORD CA029 REWORK EOL",0,450,450,450,0,0,0,1.0000,0.0000,,0,0,No,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
